stname,st,stusps
Alabama,01,AL
Alaska,02,AK
Arizona,04,AZ
Arkansas,05,AR
California,06,CA
Colorado,08,CO
Connecticut,09,CT
Delaware,10,DE
DistrictofColumbia,11,DC
Florida,12,FL
Georgia,13,GA
Hawaii,15,HI
Idaho,16,ID
Illinois,17,IL
Indiana,18,IN
Iowa,19,IA
Kansas,20,KS
Kentucky,21,KY
Louisiana,22,LA
Maine,23,ME
Maryland,24,MD
Massachusetts,25,MA
Michigan,26,MI
Minnesota,27,MN
Mississippi,28,MS
Missouri,29,MO
Montana,30,MT
Nebraska,31,NE
Nevada,32,NV
NewHampshire,33,NH
NewJersey,34,NJ
NewMexico,35,NM
NewYork,36,NY
NorthCarolina,37,NC
NorthDakota,38,ND
Ohio,39,OH
Oklahoma,40,OK
Oregon,41,OR
Pennsylvania,42,PA
RhodeIsland,44,RI
SouthCarolina,45,SC
SouthDakota,46,SD
Tennessee,47,TN
Texas,48,TX
Utah,49,UT
Vermont,50,VT
Virginia,51,VA
Washington,53,WA
WestVirginia,54,WV
Wisconsin,55,WI
Wyoming,56,WY